JD,X,Y,Z,VX,VY,VZ
2460859.60000000,2.4135978358611782e-01,-4.4332783713303634e+00,2.8623032936433918e-01,-1.3845654294957445e-02,3.2560882503910961e-02,-1.4720665549559776e-03
2460859.70000000,2.3997521407702468e-01,-4.4300222084661591e+00,2.8608311789636071e-01,-1.3845735194836051e-02,3.2562373639321233e-02,-1.4721627638239359e-03
2460859.80000000,2.3859063649861567e-01,-4.4267658963908669e+00,2.8593589679984532e-01,-1.3845815809960339e-02,3.2563867029708059e-02,-1.4722591394703511e-03
2460859.90000000,2.3720605086654947e-01,-4.4235094348484143e+00,2.8578866605672343e-01,-1.3845896138763763e-02,3.2565362679973349e-02,-1.4723556823072947e-03
2460860.00000000,2.3582145721598444e-01,-4.4202528236277345e+00,2.8564142565094097e-01,-1.3845976179671277e-02,3.2566860595011488e-02,-1.4724523927467767e-03
2460860.10000000,2.3443685557578917e-01,-4.4169960625021041e+00,2.8549417556571693e-01,-1.3846055931100805e-02,3.2568360779737189e-02,-1.4725492712025423e-03
2460860.20000000,2.3305224597499083e-01,-4.4137391512443083e+00,2.8534691578422899e-01,-1.3846135391462833e-02,3.2569863239078574e-02,-1.4726463180896312e-03
2460860.30000000,2.3166762844922362e-01,-4.4104820896418051e+00,2.8519964629029904e-01,-1.3846214559160004e-02,3.2571367977970223e-02,-1.4727435338239272e-03
2460860.40000000,2.3028300301493890e-01,-4.4072248774360583e+00,2.8505236706564979e-01,-1.3846293432588542e-02,3.2572875001381278e-02,-1.4728409188239752e-03
2460860.50000000,2.2889836970809174e-01,-4.4039675144135355e+00,2.8490507809401960e-01,-1.3846372010136021e-02,3.2574384314273369e-02,-1.4729384735082697e-03
2460860.60000000,2.2751372855835117e-01,-4.4007100003450379e+00,2.8475777935841906e-01,-1.3846450290182786e-02,3.2575895921628767e-02,-1.4730361982970691e-03
2460860.70000000,2.2612907959554851e-01,-4.3974523350008683e+00,2.8461047084181657e-01,-1.3846528271101560e-02,3.2577409828443343e-02,-1.4731340936119507e-03
2460860.80000000,2.2474442285612611e-01,-4.3941945181660031e+00,2.8446315252782461e-01,-1.3846605951257036e-02,3.2578926039719611e-02,-1.4732321598753550e-03
2460860.90000000,2.2335975835734675e-01,-4.3909365495794033e+00,2.8431582439795478e-01,-1.3846683329007294e-02,3.2580444560494963e-02,-1.4733303975124200e-03
2460861.00000000,2.2197508613598121e-01,-4.3876784290250397e+00,2.8416848643573472e-01,-1.3846760402701570e-02,3.2581965395799405e-02,-1.4734288069482471e-03
2460861.10000000,2.2059040622251788e-01,-4.3844201562712026e+00,2.8402113862396311e-01,-1.3846837170681697e-02,3.2583488550683791e-02,-1.4735273886097287e-03
2460861.20000000,2.1920571864761149e-01,-4.3811617310856859e+00,2.8387378094539606e-01,-1.3846913631281684e-02,3.2585014030212849e-02,-1.4736261429251008e-03
2460861.30000000,2.1782102344853166e-01,-4.3779031532509434e+00,2.8372641338343291e-01,-1.3846989782827328e-02,3.2586541839458055e-02,-1.4737250703234844e-03
2460861.40000000,2.1643632064337182e-01,-4.3746444225033994e+00,2.8357903591937128e-01,-1.3847065623637588e-02,3.2588071983526194e-02,-1.4738241712367345e-03
2460861.50000000,2.1505161026973793e-01,-4.3713855386244900e+00,2.8343164853652442e-01,-1.3847141152022426e-02,3.2589604467516721e-02,-1.4739234460966813e-03
2460861.60000000,2.1366689235895733e-01,-4.3681265013799697e+00,2.8328425121747591e-01,-1.3847216366284177e-02,3.2591139296550171e-02,-1.4740228953369770e-03
2460861.70000000,2.1228216694252755e-01,-4.3648673105350762e+00,2.8313684394476596e-01,-1.3847291264717169e-02,3.2592676475761188e-02,-1.4741225193926405e-03
2460861.80000000,2.1089743405856534e-01,-4.3616079658697133e+00,2.8298942670157773e-01,-1.3847365845607322e-02,3.2594216010291353e-02,-1.4742223186995978e-03
2460861.90000000,2.0951269372601458e-01,-4.3583484671177333e+00,2.8284199946899130e-01,-1.3847440107233499e-02,3.2595757905317942e-02,-1.4743222936965466e-03
2460862.00000000,2.0812794598333634e-01,-4.3550888140580089e+00,2.8269456223010209e-01,-1.3847514047865387e-02,3.2597302166010922e-02,-1.4744224448221732e-03
2460862.10000000,2.0674319086271681e-01,-4.3518290064537108e+00,2.8254711496727541e-01,-1.3847587665764839e-02,3.2598848797561662e-02,-1.4745227725170150e-03
2460862.20000000,2.0535842839651650e-01,-4.3485690440674922e+00,2.8239965766283215e-01,-1.3847660959185489e-02,3.2600397805175839e-02,-1.4746232772230021e-03
2460862.30000000,2.0397365862371930e-01,-4.3453089266766716e+00,2.8225219029973575e-01,-1.3847733926372383e-02,3.2601949194066254e-02,-1.4747239593829935e-03
2460862.40000000,2.0258888156413998e-01,-4.3420486540124950e+00,2.8210471285884520e-01,-1.3847806565563274e-02,3.2603502969481751e-02,-1.4748248194426574e-03
2460862.50000000,2.0120409725711502e-01,-4.3387882258512285e+00,2.8195722532303474e-01,-1.3847878874986556e-02,3.2605059136663977e-02,-1.4749258578476644e-03
2460862.60000000,1.9981930573571008e-01,-4.3355276419534325e+00,2.8180972767444767e-01,-1.3847950852862582e-02,3.2606617700876257e-02,-1.4750270750455679e-03
2460862.70000000,1.9843450703316914e-01,-4.3322669020791409e+00,2.8166221989518231e-01,-1.3848022497403271e-02,3.2608178667396438e-02,-1.4751284714853378e-03
2460862.80000000,1.9704970118936407e-01,-4.3290060060030413e+00,2.8151470196797884e-01,-1.3848093806811750e-02,3.2609742041509640e-02,-1.4752300476168964e-03
2460862.90000000,1.9566488822500130e-01,-4.3257449534537411e+00,2.8136717387347154e-01,-1.3848164779283627e-02,3.2611307828537467e-02,-1.4753318038930147e-03
2460863.00000000,1.9428006818031354e-01,-4.3224837442048676e+00,2.8121963559431035e-01,-1.3848235413004962e-02,3.2612876033794362e-02,-1.4754337407664794e-03
2460863.10000000,1.9289524108926692e-01,-4.3192223780143317e+00,2.8107208711241266e-01,-1.3848305706153549e-02,3.2614446662616751e-02,-1.4755358586919900e-03
2460863.20000000,1.9151040698601013e-01,-4.3159608546395090e+00,2.8092452840965060e-01,-1.3848375656898542e-02,3.2616019720355792e-02,-1.4756381581256910e-03
